Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
FeCr,Fe,Juslin_2007,MD,orthorhombic,15,26,1.94,55.845,0.5,12,2.43,7.85,36
FeCr,Cr,Juslin_2007,MD,orthorhombic,21,24,1.66,51.9961,0.5,12,2.57,7.85,36
FeCu,Cu,Ackland_1997,MD,orthorhombic,39.4,29,1.4,63.546,0.5,8,2.485,8.38,0
Ga2O3,Ga,Tuttle_2022,AIMD,beta,28,31,1.36,69.723,0.4,5,2.01,5.89,0
Ga2O3,O,Tuttle_2022,AIMD,beta,14,8,0.48,15.999,0.6,4,2.01,5.89,0
GaAs,Ga,Chen_2017,MD,zinc-blende,13,31,1.36,69.723,0.5,4,2.49,5.05,0
GaAs,As,Chen_2017,MD,zinc-blende,13,33,1.14,74.9216,0.5,4,2.49,5.05,0
GaAs,Ga,Sayed_1995,MD,zinc-blende,15.1,31,1.36,69.723,0.5,4,2.49,5.05,0
GaAs,As,Sayed_1995,MD,zinc-blende,15.6,33,1.14,74.9216,0.5,4,2.49,5.05,0
GaAs,As,Pons_1981,DLTS,zinc-blende,9,33,1.14,74.9216,0.5,4,2.49,5.05,NR
GaAs,As,Pons_1980,DLTS,zinc-blende,10,33,1.14,74.9216,0.5,4,2.49,5.05,77
GaAs,Ga,Jiang_2018,AIMD,zinc-blende,20,31,1.36,69.723,0.5,4,2.49,5.05,NR
GaAs,As,Jiang_2018,AIMD,zinc-blende,11,33,1.14,74.9216,0.5,4,2.49,5.05,NR
GaAs,Ga,Jiang_2018,AIMD,TBA,15,31,1.36,69.723,0.25,4,2.47,4.375,NR
AlAs,As,Jiang_2018,AIMD,TBA,19,33,1.14,74.9216,0.5,4,2.47,4.375,NR
AlAs,Al,Jiang_2018,AIMD,TBA,18,13,1.43,26.9815,0.25,4,2.47,4.375,NR
GaN,Ga,Gao_2011,AIMD,wurtzite,73.2,31,1.36,69.723,0.5,4,1.96,6.08,100
GaN,N,Gao_2011,AIMD,wurtzite,32.4,7,0.56,14.0067,0.5,4,1.96,6.08,100
GaN,Ga,Ionascut-Nedelcescu_2002,PE,wurtzite,19,31,1.36,69.723,0.5,4,1.96,6.08,293
GaN,Ga,Xiao_2009,AIMD,wurtzite,73,31,1.36,69.723,0.5,4,1.96,6.08,NR
GaN,N,Xiao_2009,AIMD,wurtzite,32,7,0.56,14.0067,0.5,4,1.96,6.08,NR
GaN,Ga,Nord_2003,MD,wurtzite,45,31,1.36,69.723,0.5,4,1.96,6.08,NR
GaN,N,Nord_2003,MD,wurtzite,109,7,0.56,14.0067,0.5,4,1.96,6.08,NR
Gd2Ti2O7,Gd,Devanathan_2005,MD,bcc,84,64,2.33,157.25,0.18,8,2.44,6.56,30
Gd2Ti2O7,Ti,Devanathan_2005,MD,bcc,205,22,1.87,47.867,0.18,6,1.97,6.56,30
Gd2Ti2O7,O,Devanathan_2005,MD,bcc,52,8,0.48,15.999,0.64,4,2.24,6.56,30
Gd2Ti2O7,Gd,Wang_2013,AIMD,bcc,42,64,2.33,157.25,0.18,8,2.44,6.56,NR
Gd2Ti2O7,O,Wang_2013,AIMD,bcc,19.5,8,0.48,15.999,0.64,4,2.24,6.56,NR
Gd2Ti2O7,Gd,Devanathan_2010,MD,bcc,84,64,2.33,157.25,0.18,8,2.44,6.56,300
Gd2Ti2O7,Ti,Devanathan_2010,MD,bcc,205,22,1.87,47.867,0.18,6,1.97,6.56,300
Gd2Ti2O7,O,Devanathan_2010,MD,bcc,52,8,0.48,15.999,0.64,4,2.24,6.56,300
Gd2Zr2O7,Gd,Devanathan_2005,MD,bcc,72,64,2.33,157.25,0.18,8,2.48,6.84,30
Gd2Zr2O7,Zr,Devanathan_2005,MD,bcc,121,40,2.06,91.224,0.18,6,2.09,6.84,30
Gd2Zr2O7,O,Devanathan_2005,MD,bcc,52,8,0.48,15.999,0.64,4,2.32,6.84,30
Gd2Zr2O7,Gd,Wang_2013,AIMD,bcc,39,64,2.33,157.25,0.18,8,2.48,6.84,NR
Gd2Zr2O7,Zr,Wang_2013,AIMD,bcc,41,40,2.06,91.224,0.18,6,2.09,6.84,NR
Gd2Zr2O7,O,Wang_2013,AIMD,bcc,18,8,0.48,15.999,0.64,4,2.32,6.84,NR
Gd2Zr2O7,Gd,Devanathan_2010,MD,bcc,72,64,2.33,157.25,0.18,8,2.48,6.84,300
Gd2Zr2O7,Zr,Devanathan_2010,MD,bcc,121,40,2.06,91.224,0.18,6,2.09,6.84,300
Gd2Zr2O7,O,Devanathan_2010,MD,bcc,41,8,0.48,15.999,0.64,4,2.32,6.84,300
GdBa2Cu3O7,Gd,Makletsov_1994,PE,delta,150,64,2.33,157.25,0.08,8,2.44,6.78,
Ge,Ge,Loferski_1958,RM,bcc,14.5,32,2.11,72.64,1,4,2.46,5.323,300
Ge,Ge,Holström_2010,AIMD,bcc,21,32,2.11,72.64,1,4,2.46,5.323,NR
Ge,Ge,Poulin_1980,RM,bcc,20,32,2.11,72.64,1,4,2.46,5.323,293
HfO2,O,Wang_2019,MD,m,14,8,0.48,15.999,0.67,4,2.14,10.63,293
Ir,Ir,Gely_1983,RM,cubic,46,77,1.8,192.217,1,12,2.73,22.56,35
KCl,K,Torrens_1967,MD,cubic,27.5,19,2.43,39.0983,0.5,6,3.14,2,331
KCl,Cl,Torrens_1966,MD,cubic,28,17,0.79,35.453,0.5,6,3.14,2,NR
La2Zr2O7,O,Smith_2003,TRCS,Fd-3m,47,8,0.48,15.999,0.636363636,4,2.45125,6.02,293
La2Zr2O7,La,Smith_2003,TRCS,Fd-3m,5.4,57,1.95,138.90547,0.181818182,8,2.565,6.02,293
